Názov obce;Názov okresu;Názov kraja
Opátka;Okres Košice - okolie;Košický
Opatovce;Okres Trenčín;Trenčiansky
Opatovce nad Nitrou;Okres Prievidza;Trenčiansky
Opatovská Nová Ves;Okres Veľký Krtíš;Banskobystrický
Opava;Okres Veľký Krtíš;Banskobystrický
Opiná;Okres Košice - okolie;Košický
Opoj;Okres Trnava;Trnavský
Oponice;Okres Topoľčany;Nitriansky
Oravce;Okres Banská Bystrica;Banskobystrický
Orávka;Okres Rimavská Sobota;Banskobystrický
Oravská Jasenica;Okres Námestovo;Žilinský
Oravská Lesná;Okres Námestovo;Žilinský
Oravská Polhora;Okres Námestovo;Žilinský
Oravská Poruba;Okres Dolný Kubín;Žilinský
Oravské Veselé;Okres Námestovo;Žilinský
Oravský Biely Potok;Okres Tvrdošín;Žilinský
Oravský Podzámok;Okres Dolný Kubín;Žilinský
Ordzovany;Okres Levoča;Prešovský
Orechová;Okres Sobrance;Košický
Orechová Potôň;Okres Dunajská Streda;Trnavský
Oreské, okres Michalovce;Okres Michalovce;Košický
Oreské, okres Skalica;Okres Skalica;Trnavský
Orešany;Okres Topoľčany;Nitriansky
Orlov;Okres Stará Ľubovňa;Prešovský
Orovnica;Okres Žarnovica;Banskobystrický
Ortuťová;Okres Bardejov;Prešovský
Osádka;Okres Dolný Kubín;Žilinský
Osadné;Okres Snina;Prešovský
Osikov;Okres Bardejov;Prešovský
Oslany;Okres Prievidza;Trenčiansky
Osrblie;Okres Brezno;Banskobystrický
Ostrá Lúka;Okres Zvolen;Banskobystrický
Ostratice;Okres Partizánske;Trenčiansky
Ostrov, okres Piešťany;Okres Piešťany;Trnavský
Ostrov, okres Sobrance;Okres Sobrance;Košický
Ostrovany;Okres Sabinov;Prešovský
Ostrý Grúň;Okres Žarnovica;Banskobystrický
Osturňa;Okres Kežmarok;Prešovský
Osuské;Okres Senica;Trnavský
Oščadnica;Okres Čadca;Žilinský
Otrhánky;Okres Bánovce nad Bebravou;Trenčiansky
Otročok;Okres Revúca;Banskobystrický
Ovčiarsko;Okres Žilina;Žilinský
Ovčie;Okres Prešov;Prešovský
Ozdín;Okres Poltár;Banskobystrický
Ožďany;Okres Rimavská Sobota;Banskobystrický
Pača;Okres Rožňava;Košický
Padáň;Okres Dunajská Streda;Trnavský
Padarovce;Okres Rimavská Sobota;Banskobystrický
Pakostov;Okres Humenné;Prešovský
Palárikovo;Okres Nové Zámky;Nitriansky
Palín;Okres Michalovce;Košický
Palota;Okres Medzilaborce;Prešovský
Paňa;Okres Nitra;Nitriansky
Panické Dravce;Okres Lučenec;Banskobystrický
Paňovce;Okres Košice - okolie;Košický
Papín;Okres Humenné;Prešovský
Papradno;Okres Považská Bystrica;Trenčiansky
Parchovany;Okres Trebišov;Košický
Parihuzovce;Okres Snina;Prešovský
Párnica;Okres Dolný Kubín;Žilinský
Partizánska Ľupča;Okres Liptovský Mikuláš;Žilinský
Partizánske;Okres Partizánske;Trenčiansky
Pastovce;Okres Levice;Nitriansky
Pastuchov;Okres Hlohovec;Trnavský
Pašková;Okres Rožňava;Košický
Paština Závada;Okres Žilina;Žilinský
Pata;Okres Galanta;Trnavský
Pataš;Okres Dunajská Streda;Trnavský
Patince;Okres Komárno;Nitriansky
Pavčina Lehota;Okres Liptovský Mikuláš;Žilinský
Pavľany;Okres Levoča;Prešovský
Pavlice;Okres Trnava;Trnavský
Pavlová;Okres Nové Zámky;Nitriansky
Pavlova Ves;Okres Liptovský Mikuláš;Žilinský
Pavlovce nad Uhom;Okres Michalovce;Košický
Pavlovce, okres Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický
Pavlovce, okres Vranov nad Topľou;Okres Vranov nad Topľou;Prešovský
Pažiť;Okres Partizánske;Trenčiansky
Pčoliné;Okres Snina;Prešovský
Pečeňady;Okres Piešťany;Trnavský
Pečeňany;Okres Bánovce nad Bebravou;Trenčiansky
Pečenice;Okres Levice;Nitriansky
Pečovská Nová Ves;Okres Sabinov;Prešovský
Peder;Okres Košice - okolie;Košický
Perín-Chym;Okres Košice - okolie;Košický
Pernek;Okres Malacky;Bratislavský
Petkovce;Okres Vranov nad Topľou;Prešovský
Petrikovce;Okres Michalovce;Košický
Petrová;Okres Bardejov;Prešovský
Petrova Lehota;Okres Trenčín;Trenčiansky
Petrova Ves;Okres Skalica;Trnavský
Petrovany;Okres Prešov;Prešovský
Petrovce nad Laborcom;Okres Michalovce;Košický
Petrovce, okres Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický
Petrovce, okres Sobrance;Okres Sobrance;Košický
Petrovce, okres Vranov nad Topľou;Okres Vranov nad Topľou;Prešovský
Petrovice;Okres Bytča;Žilinský
Petrovo;Okres Rožňava;Košický
Pezinok;Okres Pezinok;Bratislavský
Piešťany;Okres Piešťany;Trnavský
Pichne;Okres Snina;Prešovský
Píla, okres Lučenec;Okres Lučenec;Banskobystrický
Píla, okres Pezinok;Okres Pezinok;Bratislavský
Píla, okres Žarnovica;Okres Žarnovica;Banskobystrický
Pinciná;Okres Lučenec;Banskobystrický
Pinkovce;Okres Sobrance;Košický
Piskorovce;Okres Vranov nad Topľou;Prešovský
Pitelová;Okres Žiar nad Hronom;Banskobystrický
Plášťovce;Okres Levice;Nitriansky
Plavé Vozokany;Okres Levice;Nitriansky
Plavecké Podhradie;Okres Malacky;Bratislavský
Plavecký Mikuláš;Okres Malacky;Bratislavský
Plavecký Peter;Okres Senica;Trnavský
Plavecký Štvrtok;Okres Malacky;Bratislavský
Plaveč;Okres Stará Ľubovňa;Prešovský
Plavnica;Okres Stará Ľubovňa;Prešovský
Plechotice;Okres Trebišov;Košický
Pleš;Okres Lučenec;Banskobystrický
Plešivec;Okres Rožňava;Košický
Plevník-Drienové;Okres Považská Bystrica;Trenčiansky
Pliešovce;Okres Zvolen;Banskobystrický
Ploské, okres Košice - okolie;Okres Košice - okolie;Košický
Ploské, okres Revúca;Okres Revúca;Banskobystrický
Pobedim;Okres Nové Mesto nad Váhom;Trenčiansky
Počarová;Okres Považská Bystrica;Trenčiansky
Počúvadlo;Okres Banská Štiavnica;Banskobystrický
Podbiel;Okres Tvrdošín;Žilinský
Podbranč;Okres Senica;Trnavský
Podbrezová;Okres Brezno;Banskobystrický
Podhájska;Okres Nové Zámky;Nitriansky
Podhorany, okres Kežmarok;Okres Kežmarok;Prešovský
Podhorany, okres Nitra;Okres Nitra;Nitriansky
Podhorany, okres Prešov;Okres Prešov;Prešovský
Podhorie, okres Banská Štiavnica;Okres Banská Štiavnica;Banskobystrický
Podhorie, okres Žilina;Okres Žilina;Žilinský
Podhoroď;Okres Sobrance;Košický
Podhradie, okres Martin;Okres Martin;Žilinský
Podhradie, okres Prievidza;Okres Prievidza;Trenčiansky
Podhradie, okres Topoľčany;Okres Topoľčany;Nitriansky
Podhradík;Okres Prešov;Prešovský
Podkonice;Okres Banská Bystrica;Banskobystrický
Podkriváň;Okres Detva;Banskobystrický
Podkylava;Okres Myjava;Trenčiansky
Podlužany, okres Bánovce nad Bebravou;Okres Bánovce nad Bebravou;Trenčiansky
Podlužany, okres Levice;Okres Levice;Nitriansky
Podolie;Okres Nové Mesto nad Váhom;Trenčiansky
Podolínec;Okres Stará Ľubovňa;Prešovský
Podrečany;Okres Lučenec;Banskobystrický
Podskalie;Okres Považská Bystrica;Trenčiansky
Podtureň;Okres Liptovský Mikuláš;Žilinský
Podvysoká;Okres Čadca;Žilinský
Podzámčok;Okres Zvolen;Banskobystrický
Pohorelá;Okres Brezno;Banskobystrický
Pohranice;Okres Nitra;Nitriansky
Pohronská Polhora;Okres Brezno;Banskobystrický
Pohronský Bukovec;Okres Banská Bystrica;Banskobystrický
Pohronský Ruskov;Okres Levice;Nitriansky
Pochabany;Okres Bánovce nad Bebravou;Trenčiansky
Pokryváč;Okres Dolný Kubín;Žilinský
Poľanovce;Okres Levoča;Prešovský
Poľany;Okres Trebišov;Košický
Poliakovce;Okres Bardejov;Prešovský
Polianka;Okres Myjava;Trenčiansky
Polichno;Okres Lučenec;Banskobystrický
Polina;Okres Revúca;Banskobystrický
Poľný Kesov;Okres Nitra;Nitriansky
Poloma;Okres Sabinov;Prešovský
Polomka;Okres Brezno;Banskobystrický
Poltár;Okres Poltár;Banskobystrický
Poluvsie;Okres Prievidza;Trenčiansky
Pongrácovce;Okres Levoča;Prešovský
Poniky;Okres Banská Bystrica;Banskobystrický
Poprad;Okres Poprad;Prešovský
Poproč, okres Košice - okolie;Okres Košice - okolie;Košický
Poproč, okres Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický
Popudinské Močidľany;Okres Skalica;Trnavský
Poráč;Okres Spišská Nová Ves;Košický
Poriadie;Okres Myjava;Trenčiansky
Porostov;Okres Sobrance;Košický
Poruba;Okres Prievidza;Trenčiansky
Poruba pod Vihorlatom;Okres Michalovce;Košický
Porúbka, okres Bardejov;Okres Bardejov;Prešovský
Porúbka, okres Humenné;Okres Humenné;Prešovský
Porúbka, okres Sobrance;Okres Sobrance;Košický
Porúbka, okres Žilina;Okres Žilina;Žilinský
Poša;Okres Vranov nad Topľou;Prešovský
Potok, okres Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický
Potok, okres Ružomberok;Okres Ružomberok;Žilinský
Potoky;Okres Stropkov;Prešovský
Potôčky;Okres Stropkov;Prešovský
Potônske Lúky;Okres Dunajská Streda;Trnavský
Potvorice;Okres Nové Mesto nad Váhom;Trenčiansky
Považany;Okres Nové Mesto nad Váhom;Trenčiansky
Považská Bystrica;Okres Považská Bystrica;Trenčiansky
Povina;Okres Kysucké Nové Mesto;Žilinský
Povoda;Okres Dunajská Streda;Trnavský
Povrazník;Okres Banská Bystrica;Banskobystrický
Pozba;Okres Nové Zámky;Nitriansky
Pozdišovce;Okres Michalovce;Košický
Pôtor;Okres Veľký Krtíš;Banskobystrický
Praha;Okres Lučenec;Banskobystrický
Prakovce;Okres Gelnica;Košický
Prašice;Okres Topoľčany;Nitriansky
Prašník;Okres Piešťany;Trnavský
Pravenec;Okres Prievidza;Trenčiansky
Pravica;Okres Veľký Krtíš;Banskobystrický
Pravotice;Okres Bánovce nad Bebravou;Trenčiansky
Práznovce;Okres Topoľčany;Nitriansky
Prečín;Okres Považská Bystrica;Trenčiansky
Predajná;Okres Brezno;Banskobystrický
Predmier;Okres Bytča;Žilinský
Prenčov;Okres Banská Štiavnica;Banskobystrický
Preseľany;Okres Topoľčany;Nitriansky
Prestavlky;Okres Žiar nad Hronom;Banskobystrický
Prešov;Okres Prešov;Prešovský
Príbelce;Okres Veľký Krtíš;Banskobystrický
Pribeník;Okres Trebišov;Košický
Pribeta;Okres Komárno;Nitriansky
Pribiš;Okres Dolný Kubín;Žilinský
Príbovce;Okres Martin;Žilinský
Pribylina;Okres Liptovský Mikuláš;Žilinský
Priechod;Okres Banská Bystrica;Banskobystrický
Priekopa;Okres Sobrance;Košický
Priepasné;Okres Myjava;Trenčiansky
Prietrž;Okres Senica;Trnavský
Prietržka;Okres Skalica;Trnavský
Prievaly;Okres Senica;Trnavský
Prievidza;Okres Prievidza;Trenčiansky
Prihradzany;Okres Revúca;Banskobystrický
Príkra;Okres Svidník;Prešovský
Príslop;Okres Snina;Prešovský
Prituľany;Okres Humenné;Prešovský
Proč;Okres Prešov;Prešovský
Prochot;Okres Žiar nad Hronom;Banskobystrický
Prosačov;Okres Vranov nad Topľou;Prešovský
Prosiek;Okres Liptovský Mikuláš;Žilinský
Prša;Okres Lučenec;Banskobystrický
Pruské;Okres Ilava;Trenčiansky
Prusy;Okres Bánovce nad Bebravou;Trenčiansky
Pružina;Okres Považská Bystrica;Trenčiansky
Pstriná;Okres Svidník;Prešovský
Ptičie;Okres Humenné;Prešovský
Ptrukša;Okres Michalovce;Košický
Pucov;Okres Dolný Kubín;Žilinský
Púchov;Okres Púchov;Trenčiansky
Pukanec;Okres Levice;Nitriansky
Pusté Čemerné;Okres Michalovce;Košický
Pusté Pole;Okres Stará Ľubovňa;Prešovský
Pusté Sady;Okres Galanta;Trnavský
Pusté Úľany;Okres Galanta;Trnavský
Pušovce;Okres Prešov;Prešovský
Rabča;Okres Námestovo;Žilinský
Rabčice;Okres Námestovo;Žilinský
Rad;Okres Trebišov;Košický
Radatice;Okres Prešov;Prešovský
Radava;Okres Nové Zámky;Nitriansky
Radimov;Okres Skalica;Trnavský
Radnovce;Okres Rimavská Sobota;Banskobystrický
Radobica;Okres Prievidza;Trenčiansky
Radoľa;Okres Kysucké Nové Mesto;Žilinský
Radoma;Okres Svidník;Prešovský
Radošina;Okres Topoľčany;Nitriansky
Radošovce, okres Skalica;Okres Skalica;Trnavský
Radošovce, okres Trnava;Okres Trnava;Trnavský
Radôstka;Okres Čadca;Žilinský
Radvaň nad Dunajom;Okres Komárno;Nitriansky
Radvaň nad Laborcom;Okres Medzilaborce;Prešovský
Radvanovce;Okres Vranov nad Topľou;Prešovský
Radzovce;Okres Lučenec;Banskobystrický
Rafajovce;Okres Vranov nad Topľou;Prešovský
Rajčany;Okres Topoľčany;Nitriansky
Rajec;Okres Žilina;Žilinský
Rajecká Lesná;Okres Žilina;Žilinský
Rajecké Teplice;Okres Žilina;Žilinský
Rákoš, okres Košice - okolie;Okres Košice - okolie;Košický
Rákoš, okres Revúca;Okres Revúca;Banskobystrický
Raková;Okres Čadca;Žilinský
Rakovčík;Okres Svidník;Prešovský
Rakovec nad Ondavou;Okres Michalovce;Košický
Rakovice;Okres Piešťany;Trnavský
Rakovnica;Okres Rožňava;Košický
Rakovo;Okres Martin;Žilinský
Rakša;Okres Turčianske Teplice;Žilinský
Rakúsy;Okres Kežmarok;Prešovský
Rakytník;Okres Rimavská Sobota;Banskobystrický
Rankovce;Okres Košice - okolie;Košický
Rapovce;Okres Lučenec;Banskobystrický
Raslavice;Okres Bardejov;Prešovský
Rastislavice;Okres Nové Zámky;Nitriansky
Rašice;Okres Revúca;Banskobystrický
Ratka;Okres Lučenec;Banskobystrický
Ratková;Okres Revúca;Banskobystrický
Ratkovce;Okres Hlohovec;Trnavský
Ratkovo;Okres Martin;Žilinský
Ratkovská Lehota;Okres Rimavská Sobota;Banskobystrický
Ratkovská Suchá;Okres Rimavská Sobota;Banskobystrický
Ratkovské Bystré;Okres Revúca;Banskobystrický
Ratnovce;Okres Piešťany;Trnavský
Ratvaj;Okres Sabinov;Prešovský
Ráztočno;Okres Prievidza;Trenčiansky
Ráztoka;Okres Brezno;Banskobystrický
Ražňany;Okres Sabinov;Prešovský
Reca;Okres Senec;Bratislavský
Regetovka;Okres Bardejov;Prešovský
Rejdová;Okres Rožňava;Košický
Reľov;Okres Kežmarok;Prešovský
Remeniny;Okres Vranov nad Topľou;Prešovský
Remetské Hámre;Okres Sobrance;Košický
Renčišov;Okres Sabinov;Prešovský
Repejov;Okres Medzilaborce;Prešovský
Repište;Okres Žiar nad Hronom;Banskobystrický
Rešica;Okres Košice - okolie;Košický
Rešov;Okres Bardejov;Prešovský
Revúca;Okres Revúca;Banskobystrický
Revúcka Lehota;Okres Revúca;Banskobystrický
Riečka, okres Banská Bystrica;Okres Banská Bystrica;Banskobystrický
Riečka, okres Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický
Richnava;Okres Gelnica;Košický
Richvald;Okres Bardejov;Prešovský
Rimavská Baňa;Okres Rimavská Sobota;Banskobystrický
Rimavská Seč;Okres Rimavská Sobota;Banskobystrický
Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický
Rimavské Brezovo;Okres Rimavská Sobota;Banskobystrický
Rimavské Janovce;Okres Rimavská Sobota;Banskobystrický
Rimavské Zalužany;Okres Rimavská Sobota;Banskobystrický
Rišňovce;Okres Nitra;Nitriansky
Rohov;Okres Senica;Trnavský
Rohovce;Okres Dunajská Streda;Trnavský
Rohožník, okres Humenné;Okres Humenné;Prešovský
Rohožník, okres Malacky;Okres Malacky;Bratislavský
Rochovce;Okres Rožňava;Košický
Rokycany;Okres Prešov;Prešovský
Rokytov;Okres Bardejov;Prešovský
Rokytov pri Humennom;Okres Humenné;Prešovský
Rokytovce;Okres Medzilaborce;Prešovský
Rosina;Okres Žilina;Žilinský
Roškovce;Okres Medzilaborce;Prešovský
Roštár;Okres Rožňava;Košický
Rovensko;Okres Senica;Trnavský
Rovinka;Okres Senec;Bratislavský
Rovňany;Okres Poltár;Banskobystrický
Rovné, okres Humenné;Okres Humenné;Prešovský
Rovné, okres Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický
Rovné, okres Svidník;Okres Svidník;Prešovský
Rozhanovce;Okres Košice - okolie;Košický
Rozložná;Okres Rožňava;Košický
Roztoky;Okres Svidník;Prešovský
Rožkovany;Okres Sabinov;Prešovský
Rožňava;Okres Rožňava;Košický
Rožňavské Bystré;Okres Rožňava;Košický
Rúbaň;Okres Nové Zámky;Nitriansky
Rudina;Okres Kysucké Nové Mesto;Žilinský
Rudinka;Okres Kysucké Nové Mesto;Žilinský
Rudinská;Okres Kysucké Nové Mesto;Žilinský
Rudlov;Okres Vranov nad Topľou;Prešovský
Rudná;Okres Rožňava;Košický
Rudňany;Okres Spišská Nová Ves;Košický
Rudnianska Lehota;Okres Prievidza;Trenčiansky
Rudník, okres Košice - okolie;Okres Košice - okolie;Košický
Rudník, okres Myjava;Okres Myjava;Trenčiansky
Rudno;Okres Turčianske Teplice;Žilinský
Rudno nad Hronom;Okres Žarnovica;Banskobystrický
Rumanová;Okres Nitra;Nitriansky
Rumince;Okres Rimavská Sobota;Banskobystrický
Runina;Okres Snina;Prešovský
Ruská;Okres Michalovce;Košický
Ruská Bystrá;Okres Sobrance;Košický
Ruská Kajňa;Okres Humenné;Prešovský
Ruská Nová Ves;Okres Prešov;Prešovský
Ruská Poruba;Okres Humenné;Prešovský
Ruská Voľa;Okres Vranov nad Topľou;Prešovský
Ruská Voľa nad Popradom;Okres Stará Ľubovňa;Prešovský
Ruská Volová;Okres Snina;Prešovský
Ruskov;Okres Košice - okolie;Košický
Ruskovce, okres Bánovce nad Bebravou;Okres Bánovce nad Bebravou;Trenčiansky
Ruskovce, okres Sobrance;Okres Sobrance;Košický
Ruský Hrabovec;Okres Sobrance;Košický
Ruský Potok;Okres Snina;Prešovský
Ružiná;Okres Lučenec;Banskobystrický
Ružindol;Okres Trnava;Trnavský
Ružomberok;Okres Ružomberok;Žilinský
Rybany;Okres Bánovce nad Bebravou;Trenčiansky
Rybky;Okres Senica;Trnavský
Rybník, okres Levice;Okres Levice;Nitriansky
Rybník, okres Revúca;Okres Revúca;Banskobystrický
Rykynčice;Okres Krupina;Banskobystrický
Sabinov;Okres Sabinov;Prešovský
Sačurov;Okres Vranov nad Topľou;Prešovský
Sádočné;Okres Považská Bystrica;Trenčiansky
Sady nad Torysou;Okres Košice - okolie;Košický
Salka;Okres Nové Zámky;Nitriansky
Santovka;Okres Levice;Nitriansky
Sap;Okres Dunajská Streda;Trnavský
Sása, okres Revúca;Okres Revúca;Banskobystrický
Sása, okres Zvolen;Okres Zvolen;Banskobystrický
Sasinkovo;Okres Hlohovec;Trnavský
Sazdice;Okres Levice;Nitriansky
Sebedín-Bečov;Okres Banská Bystrica;Banskobystrický
Sebedražie;Okres Prievidza;Trenčiansky
Sebechleby;Okres Krupina;Banskobystrický
Seč;Okres Prievidza;Trenčiansky
Sečianky;Okres Veľký Krtíš;Banskobystrický
Sečovce;Okres Trebišov;Košický
Sečovská Polianka;Okres Vranov nad Topľou;Prešovský
Sedliacka Dubová;Okres Dolný Kubín;Žilinský
Sedlice;Okres Prešov;Prešovský
Sedliská;Okres Vranov nad Topľou;Prešovský
Sedmerovec;Okres Ilava;Trenčiansky
Sejkov;Okres Sobrance;Košický
Sekule;Okres Senica;Trnavský
Seľany;Okres Veľký Krtíš;Banskobystrický
Selce, okres Banská Bystrica;Okres Banská Bystrica;Banskobystrický
Selce, okres Krupina;Okres Krupina;Banskobystrický
Selce, okres Poltár;Okres Poltár;Banskobystrický
Selec;Okres Trenčín;Trenčiansky
Selice;Okres Šaľa;Nitriansky
Semerovo;Okres Nové Zámky;Nitriansky
Seňa;Okres Košice - okolie;Košický
Senec;Okres Senec;Bratislavský
Seniakovce;Okres Prešov;Prešovský
Senica;Okres Senica;Trnavský
Senné, okres Michalovce;Okres Michalovce;Košický
Senné, okres Veľký Krtíš;Okres Veľký Krtíš;Banskobystrický
Senohrad;Okres Krupina;Banskobystrický
Sereď;Okres Galanta;Trnavský
Sielnica;Okres Zvolen;Banskobystrický
Sihelné;Okres Námestovo;Žilinský
Sihla;Okres Brezno;Banskobystrický
Sikenica;Okres Levice;Nitriansky
Sikenička;Okres Nové Zámky;Nitriansky
Siladice;Okres Hlohovec;Trnavský
Silica;Okres Rožňava;Košický
Silická Brezová;Okres Rožňava;Košický
Silická Jablonica;Okres Rožňava;Košický
Sirk;Okres Revúca;Banskobystrický
Sirník;Okres Trebišov;Košický
Skačany;Okres Partizánske;Trenčiansky
Skalica;Okres Skalica;Trnavský
Skalité;Okres Čadca;Žilinský
Skalka nad Váhom;Okres Trenčín;Trenčiansky
Skároš;Okres Košice - okolie;Košický
Skerešovo;Okres Revúca;Banskobystrický
Sklabiná;Okres Veľký Krtíš;Banskobystrický
Sklabiňa;Okres Martin;Žilinský
Sklabinský Podzámok;Okres Martin;Žilinský
Sklené;Okres Turčianske Teplice;Žilinský
Sklené Teplice;Okres Žiar nad Hronom;Banskobystrický
Skrabské;Okres Vranov nad Topľou;Prešovský
Skýcov;Okres Zlaté Moravce;Nitriansky
Sládkovičovo;Okres Galanta;Trnavský
Slančík;Okres Košice - okolie;Košický
Slanec;Okres Košice - okolie;Košický
Slanská Huta;Okres Košice - okolie;Košický
Slanské Nové Mesto;Okres Košice - okolie;Košický
Slaská;Okres Žiar nad Hronom;Banskobystrický
Slatina;Okres Levice;Nitriansky
Slatina nad Bebravou;Okres Bánovce nad Bebravou;Trenčiansky
Slatinka nad Bebravou;Okres Bánovce nad Bebravou;Trenčiansky
Slatinské Lazy;Okres Detva;Banskobystrický
Slatvina;Okres Spišská Nová Ves;Košický
Slavec;Okres Rožňava;Košický
Slavkovce;Okres Michalovce;Košický
Slavnica;Okres Ilava;Trenčiansky
Slavoška;Okres Rožňava;Košický
Slavošovce;Okres Rožňava;Košický
Sľažany;Okres Zlaté Moravce;Nitriansky
Slepčany;Okres Zlaté Moravce;Nitriansky
Sliač;Okres Zvolen;Banskobystrický
Sliepkovce;Okres Michalovce;Košický
Slivník;Okres Trebišov;Košický
Slizké;Okres Rimavská Sobota;Banskobystrický
Slopná;Okres Považská Bystrica;Trenčiansky
Slovany;Okres Martin;Žilinský
Slovenská Kajňa;Okres Vranov nad Topľou;Prešovský
Slovenská Ľupča;Okres Banská Bystrica;Banskobystrický
Slovenská Nová Ves;Okres Trnava;Trnavský
Slovenská Ves;Okres Kežmarok;Prešovský
Slovenská Volová;Okres Humenné;Prešovský
Slovenské Ďarmoty;Okres Veľký Krtíš;Banskobystrický
Slovenské Kľačany;Okres Veľký Krtíš;Banskobystrický
Slovenské Krivé;Okres Humenné;Prešovský
Slovenské Nové Mesto;Okres Trebišov;Košický
Slovenské Pravno;Okres Turčianske Teplice;Žilinský
Slovenský Grob;Okres Pezinok;Bratislavský
Slovinky;Okres Spišská Nová Ves;Košický
Smilno;Okres Bardejov;Prešovský
Smižany;Okres Spišská Nová Ves;Košický
Smolenice;Okres Trnava;Trnavský
Smolinské;Okres Senica;Trnavský
Smolnícka Huta;Okres Gelnica;Košický
Smolník;Okres Gelnica;Košický
Smrdáky;Okres Senica;Trnavský
Smrečany;Okres Liptovský Mikuláš;Žilinský
Snakov;Okres Bardejov;Prešovský
Snežnica;Okres Kysucké Nové Mesto;Žilinský
Snina;Okres Snina;Prešovský
Soblahov;Okres Trenčín;Trenčiansky
Soboš;Okres Svidník;Prešovský
Sobotište;Okres Senica;Trnavský
Sobrance;Okres Sobrance;Košický
Socovce;Okres Martin;Žilinský
Sokoľ;Okres Košice - okolie;Košický
Sokoľany;Okres Košice - okolie;Košický
Sokolce;Okres Komárno;Nitriansky
Sokolovce;Okres Piešťany;Trnavský
Soľ;Okres Vranov nad Topľou;Prešovský
Solčany;Okres Topoľčany;Nitriansky
Solčianky;Okres Topoľčany;Nitriansky
Soľnička;Okres Trebišov;Košický
Soľník;Okres Stropkov;Prešovský
Sološnica;Okres Malacky;Bratislavský
Somotor;Okres Trebišov;Košický
Sopkovce;Okres Humenné;Prešovský
Spišská Belá;Okres Kežmarok;Prešovský
Spišská Nová Ves;Okres Spišská Nová Ves;Košický
Spišská Stará Ves;Okres Kežmarok;Prešovský
Spišská Teplica;Okres Poprad;Prešovský
Spišské Bystré;Okres Poprad;Prešovský
Spišské Hanušovce;Okres Kežmarok;Prešovský
Spišské Podhradie;Okres Levoča;Prešovský
Spišské Tomášovce;Okres Spišská Nová Ves;Košický
Spišské Vlachy;Okres Spišská Nová Ves;Košický
Spišský Hrhov;Okres Levoča;Prešovský
Spišský Hrušov;Okres Spišská Nová Ves;Košický
Spišský Štiavnik;Okres Poprad;Prešovský
Spišský Štvrtok;Okres Levoča;Prešovský
Stakčín;Okres Snina;Prešovský
Stakčínska Roztoka;Okres Snina;Prešovský
Stanča;Okres Trebišov;Košický
Stankovany;Okres Ružomberok;Žilinský
Stankovce;Okres Trebišov;Košický
Stará Bašta;Okres Rimavská Sobota;Banskobystrický
Stará Bystrica;Okres Čadca;Žilinský
Stará Halič;Okres Lučenec;Banskobystrický
Stará Huta;Okres Detva;Banskobystrický
Stará Kremnička;Okres Žiar nad Hronom;Banskobystrický
Stará Lehota;Okres Nové Mesto nad Váhom;Trenčiansky
Stará Lesná;Okres Kežmarok;Prešovský
Stará Ľubovňa;Okres Stará Ľubovňa;Prešovský
Stará Myjava;Okres Myjava;Trenčiansky
Stará Turá;Okres Nové Mesto nad Váhom;Trenčiansky
Stará Voda;Okres Gelnica;Košický
Staré;Okres Michalovce;Košický
Staré Hory;Okres Banská Bystrica;Banskobystrický
Starina;Okres Stará Ľubovňa;Prešovský
Starý Hrádok;Okres Levice;Nitriansky
Starý Tekov;Okres Levice;Nitriansky
Staškov;Okres Čadca;Žilinský
Staškovce;Okres Stropkov;Prešovský
Stebnícka Huta;Okres Bardejov;Prešovský
Stebník;Okres Bardejov;Prešovský
Stožok;Okres Detva;Banskobystrický
Stráňany;Okres Stará Ľubovňa;Prešovský
Stráňavy;Okres Žilina;Žilinský
Stráne pod Tatrami;Okres Kežmarok;Prešovský
Stránska;Okres Rimavská Sobota;Banskobystrický
Stránske;Okres Žilina;Žilinský
Stratená;Okres Rožňava;Košický
Stráža;Okres Žilina;Žilinský
Strážne;Okres Trebišov;Košický
Strážske;Okres Michalovce;Košický
Strečno;Okres Žilina;Žilinský
Streda nad Bodrogom;Okres Trebišov;Košický
Stredné Plachtince;Okres Veľký Krtíš;Banskobystrický
Strekov;Okres Nové Zámky;Nitriansky
Strelníky;Okres Banská Bystrica;Banskobystrický
Stretava;Okres Michalovce;Košický
Stretavka;Okres Michalovce;Košický
Streženice;Okres Púchov;Trenčiansky
Strihovce;Okres Snina;Prešovský
Stročín;Okres Svidník;Prešovský
Stropkov;Okres Stropkov;Prešovský
Studená;Okres Rimavská Sobota;Banskobystrický
Studenec;Okres Levoča;Prešovský
Studienka;Okres Malacky;Bratislavský
Stuľany;Okres Bardejov;Prešovský
Stupava;Okres Malacky;Bratislavský
Stupné;Okres Považská Bystrica;Trenčiansky
Sučany;Okres Martin;Žilinský
Sudince;Okres Krupina;Banskobystrický
Súdovce;Okres Krupina;Banskobystrický
Suchá Dolina;Okres Prešov;Prešovský
Suchá Hora;Okres Tvrdošín;Žilinský
Suchá nad Parnou;Okres Trnava;Trnavský
Sucháň;Okres Veľký Krtíš;Banskobystrický
Suché;Okres Michalovce;Košický
